categoria;marca;modelo;versao;motor;propulsao;transmissao;ar_cond;direcao;combustivel;nmog_nox_mg_km;co_mg_km;nox_g_km;red_limite;co2_fossil_g_km;co2e_fossil_g_km;co2e_vehp_g_km;etanol_cid_kml;etanol_est_kml;gas_diesel_cid_kml;gas_diesel_est_kml;eletr_ve_gas_cid_kmle;eletr_ve_gas_est_kmle;eletr_vehp_flex_cid_kmle;eletr_vehp_flex_est_kmle;consumo_mj_km;autonomia_km;class_rel_cat;class_abs_geral;selo_conpet
Sub Compacto;BYD;DOLPHIN MINI;GS EV;Elétrico;Elétrico;NA;S;E;E;NA;NA;NA;A;NA;0;NA;NA;NA;NA;NA;58.6;41.9;NA;NA;0.41;280;A;A;NÃO
Sub Compacto;BYD;DOLPHIN MINI;GS 5 EV;Elétrico;Elétrico;NA;S;E;E;NA;NA;NA;A;NA;0;NA;NA;NA;NA;NA;58.6;41.9;NA;NA;0.41;280;A;A;NÃO
Sub Compacto;BYD;DOLPHIN MINI;GL 5 EV;Elétrico;Elétrico;A-1;S;E;E;NA;NA;NA;A;NA;NA;NA;NA;NA;NA;NA;60.6;44.4;NA;NA;0.39;224;A;A;NÃO
Sub Compacto;FIAT;500E;ICON;ELÉTRICO;Elétrico;A-1;S;E;E;NA;NA;NA;A;NA;NA;NA;NA;NA;NA;NA;47.3;40.4;NA;NA;0.46;227;C;A;NÃO
Sub Compacto;FIAT;MOBI;TREKKING;1.0-6V;Combustão;M-5;S;E;F;38;280;3;B;0;91;NA;9.8;10.6;14.0;15.1;NA;NA;NA;NA;1.46;NA;E;B;NÃO
Sub Compacto;FIAT;MOBI;LIKE;1.0-6V;Combustão;M-5;S;E;F;37;348;4;B;0;87;NA;10.1;11.1;14.5;15.8;NA;NA;NA;NA;1.40;NA;E;B;NÃO
Sub Compacto;JAC;e-JS1;e-JS1;Elétrico;Elétrico;A-1;S;E;E;NA;NA;NA;A;NA;NA;NA;NA;NA;NA;NA;46.6;35.0;NA;NA;0.50;181;E;A;NÃO
Sub Compacto;JAC;e-JS1;e-JS1 EXT;Elétrico;Elétrico;A-1;S;E;E;NA;NA;NA;A;NA;NA;NA;NA;NA;NA;NA;46.6;35.0;NA;NA;0.50;181;E;A;NÃO
Sub Compacto;RENAULT;E-KWID;INTENS;Elétrico;Elétrico;A;S;E;E;NA;NA;NA;A;NA;NA;NA;NA;NA;NA;NA;52.7;39.6;NA;NA;0.44;185;B;A;NÃO
Compacto;FIAT;ARGO;1.0;1.0-6V;Combustão;M-5;S;E;F;32;390;3;B;0;94;NA;9.4;10.4;13.6;14.5;NA;NA;NA;NA;1.52;NA;C;B;NÃO
Compacto;FIAT;ARGO;DRIVE 1.0;1.0-6V;Combustão;M-5;S;E;F;32;390;3;B;0;94;NA;9.4;10.4;13.6;14.5;NA;NA;NA;NA;1.52;NA;C;B;NÃO
Compacto;FIAT;ARGO;DRIVE 1.3 AT;1.3-8V;Combustão;CVT-7;S;E;F;37;297;4;B;0;99;NA;9.0;10.3;12.8;14.3;NA;NA;NA;NA;1.58;NA;C;C;NÃO
Compacto;Hyundai;HB20;Sense;1.0-12V;Combustão;M-5;S;E;F;31;204;3;A;0;93;NA;9.9;10.7;13.3;15.4;NA;NA;NA;NA;1.48;NA;B;B;NÃO
Compacto;Hyundai;HB20;Comfort;1.0-12V;Combustão;M-5;S;E;F;31;204;3;A;0;93;NA;9.9;10.7;13.3;15.4;NA;NA;NA;NA;1.48;NA;B;B;NÃO
Compacto;Hyundai;HB20;Limited;1.0-12V;Combustão;M-5;S;E;F;31;204;3;A;0;93;NA;9.9;10.7;13.3;15.4;NA;NA;NA;NA;1.48;NA;B;B;NÃO
Compacto;Hyundai;HB20;Limited;1.0-12V T;Combustão;A-6;S;E;F;32;94;4;B;0;95;NA;9.2;10.2;13.2;14.7;NA;NA;NA;NA;1.54;NA;C;C;NÃO
Compacto;Hyundai;HB20;Platinum;1.0-12V T;Combustão;A-6;S;E;F;32;94;4;B;0;95;NA;9.2;10.2;13.2;14.7;NA;NA;NA;NA;1.54;NA;C;C;NÃO
Compacto;MINI;Cooper;E;Elétrico;Elétrico;A;S;E;E;0;0;0;A;NA;0;0;NA;NA;NA;NA;48.0;39.7;NA;NA;0.46;239;A;A;NÃO
Compacto;MINI;Cooper;SE;Elétrico;Elétrico;A;S;E;E;0;0;0;A;NA;0;0;NA;NA;NA;NA;46.1;38.4;NA;NA;0.48;312;A;A;NÃO
Compacto;MINI;JCW;3P;2.0 - 16V;Combustão;A-7;S;E;G;5;84;0;A;NA;112;NA;NA;NA;10.8;13.9;NA;NA;NA;NA;1.81;NA;E;C;NÃO
Compacto;MINI;Cooper;S CABRIO;2.0 - 16V;Combustão;A-7;S;E;G;6;77;0;A;NA;107;NA;NA;NA;11.2;14.6;NA;NA;NA;NA;1.73;NA;D;C;NÃO
Compacto;MINI;JCW;CABRIO;2.0 - 16V;Combustão;A-7;S;E;G;7;102;0;A;NA;121;NA;NA;NA;10.1;12.8;NA;NA;NA;NA;1.95;NA;E;C;NÃO
Compacto;MINI;JCW-E;3P;Elétrico;Elétrico;A;S;E;E;0;0;0;A;NA;0;0;NA;NA;NA;NA;43.8;40.2;NA;NA;0.48;306;A;A;NÃO
